"alteration"	"cis"	"mediated_trans"	"mediated_trans_weighted"	"total_trans"	"frac_mediated_trans"	"frac_mediated_trans_weighted"	"num_path_h.all.v5.0.symbols"	"num_path_c2.cp.v5.0.symbols"	"num_path_c3.tft.v5.0.symbols"	"paths_h.all.v5.0.symbols"	"paths_c2.cp.v5.0.symbols"	"paths_c3.tft.v5.0.symbols"	"rank"
"AmplificationPeak3"	"MTMR11"	0	0	311	0	0	0	0	0	""	""	""	147
"AmplificationPeak3"	"NOS1AP"	0	0	311	0	0	0	0	0	""	""	""	148
"AmplificationPeak3"	"S100A5"	0	0	311	0	0	0	0	0	""	""	""	149
"AmplificationPeak3"	"S100A16"	0	0	311	0	0	0	0	0	""	""	""	150
"AmplificationPeak3"	"FAM72B"	0	0	311	0	0	0	0	0	""	""	""	151
"AmplificationPeak3"	"INTS3"	0	0	311	0	0	0	0	0	""	""	""	152
"AmplificationPeak3"	"RXFP4"	0	0	311	0	0	0	0	0	""	""	""	153
"AmplificationPeak3"	"UCHL5"	0	0	311	0	0	0	0	0	""	""	""	154
"AmplificationPeak3"	"RPRD2"	0	0	311	0	0	0	0	0	""	""	""	155
"AmplificationPeak3"	"CREG1"	0	0	311	0	0	0	0	0	""	""	""	156
"AmplificationPeak3"	"PPOX"	0	0	311	0	0	0	0	0	""	""	""	157
"AmplificationPeak3"	"HIST2H2AB"	0	0	311	0	0	0	0	0	""	""	""	158
"AmplificationPeak3"	"ASPM"	0	0	311	0	0	0	0	0	""	""	""	159
"AmplificationPeak3"	"RAB25"	0	0	311	0	0	0	0	0	""	""	""	160
"AmplificationPeak3"	"RNASEL"	0	0	311	0	0	0	0	0	""	""	""	161
"AmplificationPeak3"	"EFNA3"	0	0	311	0	0	0	0	0	""	""	""	162
"AmplificationPeak3"	"PAQR6"	0	0	311	0	0	0	0	0	""	""	""	163
"AmplificationPeak3"	"PVRL4"	0	0	311	0	0	0	0	0	""	""	""	164
"AmplificationPeak3"	"NME7"	0	0	311	0	0	0	0	0	""	""	""	165
"AmplificationPeak3"	"HIST2H2AA3"	0	0	311	0	0	0	0	0	""	""	""	166
"AmplificationPeak3"	"BOLA1"	0	0	311	0	0	0	0	0	""	""	""	167
"AmplificationPeak3"	"LMNA"	0	0	311	0	0	0	0	0	""	""	""	168
"AmplificationPeak3"	"HIST2H3C"	0	0	311	0	0	0	0	0	""	""	""	169
"AmplificationPeak3"	"PPIAL4C"	0	0	311	0	0	0	0	0	""	""	""	170
"AmplificationPeak3"	"CTSS"	0	0	311	0	0	0	0	0	""	""	""	171
"AmplificationPeak3"	"DCST1"	0	0	311	0	0	0	0	0	""	""	""	172
"AmplificationPeak3"	"DUSP23"	0	0	311	0	0	0	0	0	""	""	""	173
"AmplificationPeak3"	"GBAP1"	0	0	311	0	0	0	0	0	""	""	""	174
"AmplificationPeak3"	"MRPS21"	0	0	311	0	0	0	0	0	""	""	""	175
